Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Luksemburg;2015;18,2;53,56;49,62;94079,51;0,75;4,4;94,86;39,37;11,09;35,53;36,69;30,34;10,96
Luksemburg;2016;17,74;52,24;48,78;96285,49;0,61;4,68;94,72;39,43;10,24;36,68;35,73;32,16;10,98
Luksemburg;2017;18,81;53,48;50,54;95665,66;0,7;3,31;95,99;39,82;9,74;37,84;38,19;34,9;11,88
Luksemburg;2018;24,51;53,48;50,42;96792,6;0,68;3,21;96,1;39,6;11,04;39,1;39,46;35,01;12,71
Malta;2000;17,6;53,22;51,38;42016,55;2,38;9,45;88,16;36,34;648,75;969,06;923,38;721,55;208,97
Malta;2001;15,33;54,19;52,83;42670,94;2,44;8,93;88,63;36,67;670,54;962,46;959,71;745,76;228,11
Malta;2002;17,65;54,88;53,3;42491,57;2,03;8,9;89,06;37,15;676,5;943,82;984,58;794,84;242,38
Malta;2003;19,08;55,61;53,5;42357,39;2,01;8,25;89,74;37,48;689,81;938,3;980,65;792,11;296,06
Malta;2004;13,07;56,1;53,27;43048,31;2,13;8,08;89,78;37,94;681,48;914,18;1010,72;824,33;315,45
Malta;2005;18,04;56,64;53,77;43828,65;2,18;8,51;89,31;38,38;633,74;878,97;1002,48;829,88;328,45
Malta;2006;18,3;57,19;54,7;45272,78;2,08;8,17;89,75;38,76;634,4;859,76;1021,16;854,22;350,9
Malta;2007;17,97;58,42;56,3;46878,77;1,88;7,8;90,32;39,07;660,11;854,42;1028,44;885,04;392,23
Malta;2008;17,05;59,24;57,46;47710,1;1,77;7,36;90,87;39,46;673,6;849,69;1036,51;920,87;416,63
Malta;2009;21,34;59,74;57,67;45724,86;1,71;6,99;91,3;39,78;684,46;850,48;1022,96;934,64;451,53
Malta;2010;22,65;58,25;55,62;46101,75;1,84;6,64;91,52;40,08;678,64;847,73;1000,86;963,48;476,74
